"Observation.id","Female.bower.male.not.present","Female.bower.male.present","Female.bower.total.bower.time","Male.time.female.near.barrier","Male.time.female.not.near.barrier","Male.time.female.not.present.bower","Male.time.female.present.bower","Male.total.time.near.barrier","Male.total.time.in.female.bower","approach","lateral display","lead","Court.total","Male.total","Male.percent.near","Female.percent.near","Latency","GSI.male","GSI.female","Testosterone_pg.mL.g.male","Estradiol_pg.mL.g.female"
"A2_1",46.183,37.831,2734.759,113.913,269.597,2.149,10.403,383.51,12.552,3,0,2,2,5,0.727272727272727,0.272727272727273,1482.132,0.913525499,1.597173145,213.458980044346,1826.80170848057
"A2_2",56.981,31.1,2734.759,57.653,8.309,45.759,29.849,65.962,75.608,4,4,0,4,8,0.0909090909090909,0.363636363636364,755.044,0.715346535,2.302521008,178.836633663366,6195.9292605042
"A2_3",6.311,86.766,2734.759,200.51,132.485,14.798,89.574,332.995,104.372,6,9,6,15,21,0.636363636363636,0.727272727272727,817.608,1.636363636,5.626728111,6394.63636363636,4119.17848064516
"A2_4",18.075,42.488,2734.759,245.364,140.038,10.034,67.015,385.402,77.049,4,6,0,6,10,0.545454545454545,0.818181818181818,895,1.296875,0.811764706,5163.95833333333,343.716288431373
"A3_1",85.263,443.172,2734.759,526.887,0,0,439.625,526.887,439.625,2,3,3,6,8,0.818181818181818,1,1130.411,0.870165746,0.646428571,220.386740331492,662.764451785714
"A3_2",502.649,0,2734.759,0,0,0,0,0,0,0,0,0,0,0,0,1,2905.629,1.146666667,2.192488263,509.688888888889,475.710385915493
"A3_3",4.254,211.8,2734.759,517.144,0,0,211.051,517.144,211.051,2,7,6,13,15,1,1,211.955,1.325581395,7.31316726,8474.79651162791,1691.4590747331
"A3_4",95.499,195.264,2734.759,357.234,19.326,13.331,190.683,376.56,204.014,6,1,1,2,8,0.454545454545455,0.909090909090909,306.636,0.885786802,4.130742049,547.284263959391,6221.97857597173
"F2_1",15.001,0,2734.759,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,2419.801,0.64756447,0.282945736,482.779369627507,261.532745387597
"F2_3",28.2,65.674,2734.759,266.709,54.469,0,65.09,321.178,65.09,9,16,2,18,27,0.545454545454545,0.909090909090909,452.933,0.889105058,0.816393443,1184.02723735409,867.199334098361
"F2_4",43.356,35.697,2734.759,128.367,31.941,9.302,35.707,160.308,45.009,5,1,3,4,9,0.454545454545455,0.818181818181818,1100.819,1.590078329,0.41796875,572.610966057441,410.10709921875
"F3_3",8.098,27.901,2734.759,263.714,142.719,24.199,33.012,406.433,57.211,20,29,1,30,50,0.545454545454545,0.727272727272727,2653.476,1.573469388,0.587064677,5288.65306122449,1134.28480646766
"F3_4",15.344,24.41,2734.759,82.294,34.526,4.41,23.416,116.82,27.826,4,1,0,1,5,0.181818181818182,0.818181818181818,1602.211,0.864450128,1.217241379,85.7289002557545,192.345342482759
"J2_1",3.547,14.754,2734.759,154.698,408.112,12.3,10.054,562.81,22.354,0,0,5,5,5,0.909090909090909,0.454545454545455,1492.775,0.8252149,6.031620553,176.876790830946,1878.65612648221
"J2_2",54.747,29.767,2734.759,143.06,242.726,0,29.153,385.786,29.153,16,0,7,7,23,0.636363636363636,0.545454545454545,344.904,0.963855422,2.522167488,779.678714859438,2339.12094236453
"J2_3",1.9,61.968,2734.759,113.67,116.214,85.145,63.509,229.884,148.654,0,6,4,10,10,0.363636363636364,0.454545454545455,926.185,0.842105263,3.030927835,293.052631578947,1768.93249381443
"J2_4",80.917,13.245,2734.759,24.963,363.102,0,12.255,388.065,12.255,0,0,0,0,0,0.727272727272727,0.363636363636364,1845.988,1.52173913,0.894230769,110.405797101449,453.985544951923
"J3_1",7.948,64.315,2734.759,157.022,289.19,32.46,65.511,446.212,97.971,1,0,0,0,1,0.727272727272727,0.363636363636364,1432.57,0.744444444,0.526923077,374.444444444444,734.084856923077
"J3_2",37.994,52.971,2734.759,2.245,50.921,3.799,53.65,53.166,57.449,6,2,2,4,10,0.181818181818182,0.454545454545455,1885.06,1.195335277,0.694029851,3300.0583090379,3656.65748731343
"J3_3",110.867,49.915,2734.759,147.124,63.859,36.155,50.47,210.983,86.625,2,8,1,9,11,0.454545454545455,0.454545454545455,1475.571,1.180515759,4.645051195,12386.3037249284,3164.25177372014
"J3_4",19.775,2.812,2734.759,41.268,92.2,0,4.992,133.468,4.992,0,0,0,0,0,0.272727272727273,0.545454545454545,484,0.708803612,1.492805755,223.792325056433,1754.63554676259
"F3_1",0,0,0,91.339,81.733,0,0,173.072,0,3,3,0,3,6,0.272727272727273,0.181818181818182,2419.721,0.720994475,0.796934866,4623.01104972376,885.348452490422
